country,year,sex,age,suicides_no,population,HDI for year, gdp_for_year ($) 
Bahamas,2008,female,35-54 years,,50385,,10526000000
Bahamas,2008,female,5-14 years,,27972,,10526000000
Bahamas,2008,female,55-74 years,,22905,,10526000000
Bahamas,2008,female,75+ years,,5272,,10526000000
Bahamas,2008,male,55-74 years,,19279,,10526000000
Bahamas,2008,male,75+ years,,2946,,10526000000
Bahamas,2009,male,15-24 years,2,31432,,9981960000
Bahamas,2009,male,35-54 years,2,48784,,9981960000
Bahamas,2009,male,25-34 years,1,27862,,9981960000
Bahamas,2009,female,35-54 years,1,51877,,9981960000
Bahamas,2009,female,15-24 years,,31298,,9981960000
Bahamas,2009,female,25-34 years,,28059,,9981960000
Bahamas,2009,female,5-14 years,,27474,,9981960000
Bahamas,2009,female,55-74 years,,23987,,9981960000
Bahamas,2009,female,75+ years,,5515,,9981960000
Bahamas,2009,male,5-14 years,,28311,,9981960000
Bahamas,2009,male,55-74 years,,20196,,9981960000
Bahamas,2009,male,75+ years,,3018,,9981960000
Bahamas,2010,male,75+ years,1,3090,0.774,10095760000
Bahamas,2010,female,15-24 years,2,31792,0.774,10095760000
Bahamas,2010,male,35-54 years,3,50326,0.774,10095760000
Bahamas,2010,male,55-74 years,1,21188,0.774,10095760000
Bahamas,2010,female,55-74 years,1,25150,0.774,10095760000
Bahamas,2010,male,15-24 years,1,31968,0.774,10095760000
Bahamas,2010,female,35-54 years,1,53312,0.774,10095760000
Bahamas,2010,female,25-34 years,,28521,0.774,10095760000
Bahamas,2010,female,5-14 years,,26732,0.774,10095760000
Bahamas,2010,female,75+ years,,5772,0.774,10095760000
Bahamas,2010,male,25-34 years,,28398,0.774,10095760000
Bahamas,2010,male,5-14 years,,27620,0.774,10095760000
Bahamas,2011,male,55-74 years,1,22178,0.778,10070450000
Bahamas,2011,female,25-34 years,1,29138,0.778,10070450000
Bahamas,2011,male,15-24 years,1,32343,0.778,10070450000
Bahamas,2011,male,35-54 years,1,50932,0.778,10070450000
Bahamas,2011,female,15-24 years,,32120,0.778,10070450000
Bahamas,2011,female,35-54 years,,53821,0.778,10070450000
Bahamas,2011,female,5-14 years,,26108,0.778,10070450000
Bahamas,2011,female,55-74 years,,26262,0.778,10070450000
Bahamas,2011,female,75+ years,,6106,0.778,10070450000
Bahamas,2011,male,25-34 years,,28997,0.778,10070450000
Bahamas,2011,male,5-14 years,,27054,0.778,10070450000
Bahamas,2011,male,75+ years,,3324,0.778,10070450000
Bahamas,2012,male,15-24 years,2,32716,0.783,10720500000
Bahamas,2012,male,35-54 years,2,51466,0.783,10720500000
Bahamas,2012,female,35-54 years,1,54245,0.783,10720500000
Bahamas,2012,female,15-24 years,,32430,0.783,10720500000
Bahamas,2012,female,25-34 years,,29909,0.783,10720500000
Bahamas,2012,female,5-14 years,,25670,0.783,10720500000
Bahamas,2012,female,55-74 years,,27444,0.783,10720500000
Bahamas,2012,female,75+ years,,6463,0.783,10720500000
Bahamas,2012,male,25-34 years,,29740,0.783,10720500000
Bahamas,2012,male,5-14 years,,26675,0.783,10720500000
Bahamas,2012,male,55-74 years,,23216,0.783,10720500000
Bahamas,2012,male,75+ years,,3584,0.783,10720500000
Bahamas,2013,male,55-74 years,2,24298,0.786,10627600000
Bahamas,2013,male,35-54 years,2,51912,0.786,10627600000
Bahamas,2013,female,35-54 years,1,54567,0.786,10627600000
Bahamas,2013,female,15-24 years,,32613,0.786,10627600000
Bahamas,2013,female,25-34 years,,30751,0.786,10627600000
Bahamas,2013,female,5-14 years,,25435,0.786,10627600000
Bahamas,2013,female,55-74 years,,28689,0.786,10627600000
Bahamas,2013,female,75+ years,,6828,0.786,10627600000
Bahamas,2013,male,15-24 years,,32971,0.786,10627600000
Bahamas,2013,male,25-34 years,,30545,0.786,10627600000
Bahamas,2013,male,5-14 years,,26496,0.786,10627600000
Bahamas,2013,male,75+ years,,3854,0.786,10627600000
Bahrain,1985,male,25-34 years,7,67600,0.727,3651861702
Bahrain,1985,male,35-54 years,3,49700,0.727,3651861702
Bahrain,1985,female,35-54 years,1,26900,0.727,3651861702
Bahrain,1985,female,15-24 years,,37800,0.727,3651861702
Bahrain,1985,female,25-34 years,,27600,0.727,3651861702
Bahrain,1985,female,5-14 years,,41400,0.727,3651861702
Bahrain,1985,female,55-74 years,,8700,0.727,3651861702
Bahrain,1985,female,75+ years,,1500,0.727,3651861702
Bahrain,1985,male,15-24 years,,49700,0.727,3651861702
Bahrain,1985,male,5-14 years,,42000,0.727,3651861702
Bahrain,1985,male,55-74 years,,11600,0.727,3651861702
Bahrain,1985,male,75+ years,,1400,0.727,3651861702
Bahrain,1987,male,55-74 years,1,11800,,3392021011
Bahrain,1987,male,35-54 years,3,47700,,3392021011
Bahrain,1987,male,25-34 years,3,63900,,3392021011
Bahrain,1987,female,25-34 years,1,27500,,3392021011
Bahrain,1987,female,15-24 years,1,38600,,3392021011
Bahrain,1987,female,35-54 years,,27300,,3392021011
Bahrain,1987,female,5-14 years,,42500,,3392021011
Bahrain,1987,female,55-74 years,,8900,,3392021011
Bahrain,1987,female,75+ years,,1500,,3392021011
Bahrain,1987,male,15-24 years,,49400,,3392021011
Bahrain,1987,male,5-14 years,,43200,,3392021011
Bahrain,1987,male,75+ years,,1600,,3392021011
Bahrain,1988,male,25-34 years,8,61600,,3702393617
Bahrain,1988,male,35-54 years,4,63500,,3702393617
Bahrain,1988,female,35-54 years,1,30900,,3702393617
Bahrain,1988,male,15-24 years,1,44100,,3702393617
Bahrain,1988,female,15-24 years,,38300,,3702393617
Bahrain,1988,female,25-34 years,,32000,,3702393617
Bahrain,1988,female,5-14 years,,45400,,3702393617
Bahrain,1988,female,55-74 years,,10300,,3702393617
Bahrain,1988,female,75+ years,,1400,,3702393617
Bahrain,1988,male,5-14 years,,46500,,3702393617
Bahrain,1988,male,55-74 years,,14400,,3702393617
Bahrain,1988,male,75+ years,,1300,,3702393617
Bahrain,1997,female,15-24 years,,46573,,6349202394
Bahrain,1997,female,25-34 years,,50841,,6349202394
Bahrain,1997,female,35-54 years,,53562,,6349202394
Bahrain,1997,female,5-14 years,,55390,,6349202394
Bahrain,1997,female,55-74 years,,13826,,6349202394
Bahrain,1997,female,75+ years,,2250,,6349202394
Bahrain,1997,male,15-24 years,,54369,,6349202394
Bahrain,1997,male,25-34 years,,80297,,6349202394
Bahrain,1997,male,35-54 years,,96825,,6349202394
Bahrain,1997,male,5-14 years,,57431,,6349202394
Bahrain,1997,male,55-74 years,,16035,,6349202394
Bahrain,1997,male,75+ years,,2355,,6349202394
Bahrain,1998,female,15-24 years,,48147,,6183776596
Bahrain,1998,female,25-34 years,,51596,,6183776596
Bahrain,1998,female,35-54 years,,56917,,6183776596
Bahrain,1998,female,5-14 years,,56626,,6183776596
Bahrain,1998,female,55-74 years,,14404,,6183776596
Bahrain,1998,female,75+ years,,2312,,6183776596
Bahrain,1998,male,15-24 years,,56377,,6183776596
Bahrain,1998,male,25-34 years,,80849,,6183776596
Bahrain,1998,male,35-54 years,,101013,,6183776596
Bahrain,1998,male,5-14 years,,58935,,6183776596
Bahrain,1998,male,55-74 years,,16409,,6183776596
Bahrain,1998,male,75+ years,,2423,,6183776596
Bahrain,1999,male,25-34 years,8,82791,,6621010372
Bahrain,1999,male,35-54 years,4,105903,,6621010372
Bahrain,1999,male,15-24 years,2,57914,,6621010372
Bahrain,1999,female,15-24 years,1,49631,,6621010372
Bahrain,1999,female,25-34 years,1,52339,,6621010372
Bahrain,1999,female,35-54 years,1,60568,,6621010372
Bahrain,1999,female,5-14 years,,58374,,6621010372
Bahrain,1999,female,55-74 years,,15017,,6621010372
Bahrain,1999,female,75+ years,,2339,,6621010372
Bahrain,1999,male,5-14 years,,61554,,6621010372
Bahrain,1999,male,55-74 years,,16810,,6621010372
Bahrain,1999,male,75+ years,,2522,,6621010372
Bahrain,2000,male,25-34 years,16,86231,0.794,9062906915
Bahrain,2000,male,35-54 years,1,112060,0.794,9062906915
Bahrain,2000,male,15-24 years,2,59208,0.794,9062906915
Bahrain,2000,female,25-34 years,1,53263,0.794,9062906915
Bahrain,2000,female,15-24 years,,50968,0.794,9062906915
Bahrain,2000,female,35-54 years,,64617,0.794,9062906915
Bahrain,2000,female,5-14 years,,60791,0.794,9062906915
Bahrain,2000,female,55-74 years,,15556,0.794,9062906915
Bahrain,2000,female,75+ years,,2394,0.794,9062906915
Bahrain,2000,male,5-14 years,,65512,0.794,9062906915
Bahrain,2000,male,55-74 years,,17346,0.794,9062906915
Bahrain,2000,male,75+ years,,2648,0.794,9062906915
Bahrain,2001,male,25-34 years,8,90920,,8976207713
Bahrain,2001,male,35-54 years,8,118151,,8976207713
Bahrain,2001,male,55-74 years,1,17917,,8976207713
Bahrain,2001,male,15-24 years,2,68309,,8976207713
Bahrain,2001,female,15-24 years,1,54497,,8976207713
Bahrain,2001,female,25-34 years,1,55961,,8976207713
Bahrain,2001,male,5-14 years,1,67127,,8976207713
Bahrain,2001,female,35-54 years,1,67856,,8976207713
Bahrain,2001,female,5-14 years,,62316,,8976207713
Bahrain,2001,female,55-74 years,,15791,,8976207713
Bahrain,2001,female,75+ years,,2544,,8976207713
Bahrain,2001,male,75+ years,,2694,,8976207713
Bahrain,2002,male,25-34 years,7,97288,,9632155053
Bahrain,2002,male,35-54 years,9,126500,,9632155053
Bahrain,2002,female,35-54 years,4,71376,,9632155053
Bahrain,2002,female,15-24 years,2,57599,,9632155053
Bahrain,2002,male,15-24 years,2,76442,,9632155053
