,country,year,sex,age,suicide_no,pop,HDI,gdp_for_year
21277,Saint Kitts and Nevis,1991,female,75+ years,0,1000,,209880963
21278,Saint Kitts and Nevis,1991,male,15-24 years,0,4900,,209880963
21279,Saint Kitts and Nevis,1991,male,25-34 years,0,2400,,209880963
21280,Saint Kitts and Nevis,1991,male,35-54 years,0,2400,,209880963
21281,Saint Kitts and Nevis,1991,male, 5-14 years,0,6000,,209880963
21282,Saint Kitts and Nevis,1991,male,55-74 years,0,2500,,209880963
21283,Saint Kitts and Nevis,1991,male,75+ years,0,500,,209880963
21284,Saint Kitts and Nevis,1992,female,15-24 years,0,4900,,229434519
21285,Saint Kitts and Nevis,1992,female,25-34 years,0,2600,,229434519
21286,Saint Kitts and Nevis,1992,female,35-54 years,0,2900,,229434519
21287,Saint Kitts and Nevis,1992,female, 5-14 years,0,5700,,229434519
21288,Saint Kitts and Nevis,1992,female,55-74 years,0,3300,,229434519
21289,Saint Kitts and Nevis,1992,female,75+ years,0,1000,,229434519
21290,Saint Kitts and Nevis,1992,male,15-24 years,0,4900,,229434519
21291,Saint Kitts and Nevis,1992,male,25-34 years,0,2400,,229434519
21292,Saint Kitts and Nevis,1992,male,35-54 years,0,2400,,229434519
21293,Saint Kitts and Nevis,1992,male, 5-14 years,0,6000,,229434519
21294,Saint Kitts and Nevis,1992,male,55-74 years,0,2500,,229434519
21295,Saint Kitts and Nevis,1992,male,75+ years,0,500,,229434519
21296,Saint Lucia,1986,male,35-54 years,3,8300,,289689704
21297,Saint Lucia,1986,male,25-34 years,2,8400,,289689704
21298,Saint Lucia,1986,female,15-24 years,0,14800,,289689704
21299,Saint Lucia,1986,female,25-34 years,0,9700,,289689704
21300,Saint Lucia,1986,female,35-54 years,0,9800,,289689704
21301,Saint Lucia,1986,female, 5-14 years,0,15200,,289689704
21302,Saint Lucia,1986,female,55-74 years,0,6300,,289689704
21303,Saint Lucia,1986,female,75+ years,0,1600,,289689704
21304,Saint Lucia,1986,male,15-24 years,0,14600,,289689704
21305,Saint Lucia,1986,male, 5-14 years,0,15400,,289689704
21306,Saint Lucia,1986,male,55-74 years,0,4900,,289689704
21307,Saint Lucia,1986,male,75+ years,0,1000,,289689704
21308,Saint Lucia,1987,male,55-74 years,3,4900,,319998987
21309,Saint Lucia,1987,male,25-34 years,3,8900,,319998987
21310,Saint Lucia,1987,male,35-54 years,2,8700,,319998987
21311,Saint Lucia,1987,male,15-24 years,2,14600,,319998987
21312,Saint Lucia,1987,female,25-34 years,1,10200,,319998987
21313,Saint Lucia,1987,female,15-24 years,0,14800,,319998987
21314,Saint Lucia,1987,female,35-54 years,0,10000,,319998987
21315,Saint Lucia,1987,female, 5-14 years,0,15000,,319998987
21316,Saint Lucia,1987,female,55-74 years,0,6300,,319998987
21317,Saint Lucia,1987,female,75+ years,0,1600,,319998987
21318,Saint Lucia,1987,male, 5-14 years,0,15300,,319998987
21319,Saint Lucia,1987,male,75+ years,0,1000,,319998987
21320,Saint Lucia,1988,female,75+ years,1,1600,,366541091
21321,Saint Lucia,1988,male,55-74 years,2,4900,,366541091
21322,Saint Lucia,1988,female,55-74 years,2,6300,,366541091
21323,Saint Lucia,1988,male,35-54 years,2,8800,,366541091
21324,Saint Lucia,1988,male,25-34 years,1,9000,,366541091
21325,Saint Lucia,1988,male,15-24 years,1,14800,,366541091
21326,Saint Lucia,1988,female, 5-14 years,1,15300,,366541091
21327,Saint Lucia,1988,female,15-24 years,0,15000,,366541091
